Date Quarter Ended,Quarter,Industry Code,Industry Type,Industry,GDP (millions of current dollars)
03/31/2006,2006Q1,34,Private Industries,Wholesale trade,6875
03/31/2006,2006Q1,35,Private Industries,Retail trade,7539
03/31/2006,2006Q1,36,Private Industries,Transportation and warehousing,4592
03/31/2006,2006Q1,45,Private Industries,Information,3897
03/31/2006,2006Q1,51,Private Industries,Finance and insurance,15313
03/31/2006,2006Q1,56,Private Industries,Real estate and rental and leasing,10801
03/31/2006,2006Q1,60,Private Industries,"Professional, scientific, and technical services",3373
03/31/2006,2006Q1,64,Private Industries,Management of companies and enterprises,1145
03/31/2006,2006Q1,65,Private Industries,Administrative and waste management services,2428
03/31/2006,2006Q1,69,Private Industries,Educational services,1050
03/31/2006,2006Q1,70,Private Industries,Health care and social assistance,8377
03/31/2006,2006Q1,75,Private Industries,"Arts, entertainment, and recreation",922
03/31/2006,2006Q1,78,Private Industries,Accommodation and food services,2544
03/31/2006,2006Q1,81,Private Industries,"Other services, except government",2762
03/31/2006,2006Q1,82,Government,Government,14393
06/30/2006,2006Q2,3,Private Industries,"Agriculture, forestry, fishing, and hunting",4868
06/30/2006,2006Q2,6,Private Industries,Mining,350
06/30/2006,2006Q2,10,Private Industries,Utilities,2611
06/30/2006,2006Q2,11,Private Industries,Construction,5545
06/30/2006,2006Q2,12,Private Industries,Manufacturing,26760
06/30/2006,2006Q2,34,Private Industries,Wholesale trade,7021
06/30/2006,2006Q2,35,Private Industries,Retail trade,7561
06/30/2006,2006Q2,36,Private Industries,Transportation and warehousing,4653
06/30/2006,2006Q2,45,Private Industries,Information,4231
06/30/2006,2006Q2,51,Private Industries,Finance and insurance,15091
06/30/2006,2006Q2,56,Private Industries,Real estate and rental and leasing,12088
06/30/2006,2006Q2,60,Private Industries,"Professional, scientific, and technical services",3441
06/30/2006,2006Q2,64,Private Industries,Management of companies and enterprises,1180
06/30/2006,2006Q2,65,Private Industries,Administrative and waste management services,2442
06/30/2006,2006Q2,69,Private Industries,Educational services,1049
06/30/2006,2006Q2,70,Private Industries,Health care and social assistance,8480
06/30/2006,2006Q2,75,Private Industries,"Arts, entertainment, and recreation",920
06/30/2006,2006Q2,78,Private Industries,Accommodation and food services,2532
06/30/2006,2006Q2,81,Private Industries,"Other services, except government",2776
06/30/2006,2006Q2,82,Government,Government,14568
09/30/2006,2006Q3,3,Private Industries,"Agriculture, forestry, fishing, and hunting",5061
